Ingredient,Carbon Footprint
albacore,4.1766318
alfalfa,0.21400693333333334
alfonsino,3.49
almond,1.88
almond covered with chocolate,4.8
almond milk,0.4179027998
almond paste,2.98
anchovy,0.82065
anglerfish,12.2922
apple,0.09958913429999999
apple juice,2.84
apples,0.3
apricot,0.296
artichoke,0.33
asiago,10.24
asparagus,0.83
atlantic herring,0.51827892
atlantic mackerel,0.52697348
avocado,0.81525
azuki bean flour,1.32
bacon,4.025
banana,0.4586947766666667
bananas,0.7999999999999999
barley,0.79
barnacle,2.295
bean,0.433
beans,1.77
beef,22.78956661
beef cattle,13.547517
beer,0.7280333333333333
beet sugar,1.17
beetroot,0.119858507
berries & grapes,1.1
black pepper,2.3819699
blackberry,0.421
blueberry,0.775
blueberry juice,3.0
bluefin tuna,1.42759465
brassicas,0.4
bread,1.014
broccoli,0.57
broiler,2.7082574999999998
brown crab,3.7323374333333335
buckwheat flour,1.96
buffalo milk,3.57
butter,8.48
cabagge,0.234
cakes and croissant,2.139
camembert,7.55
cane sugar,1.6118350000000001
canned beans,0.109
canned carrots,1.6
canned corn,1.355
canned green beans,1.45
carp,1.762
carrob,1.1035
carrot,0.07885719236363636
carrots,0.267
cashew nut,1.382
cassava,0.9
catfish,8.93
cauliflower,0.22480901272727277
celery,0.32
cheddar,11.207
cheese,15.0666666665
cheese semi-hard,8.647
cherry,0.445851125
chestnut,0.44
chicken,6.299993993285715
chickpea,0.77
chicory roots,0.069150204
chicory witloof,0.34702798777777777
chilly,0.8
chocolate,6.6
citrus fruit,0.3
clementine,0.354847135
cocoa cakes and croissant,1.9365
coconut,1.78
coconut milk,0.4126201796
cod,3.0525
cod fish stick,2.14
coffee,3.6922000000000006
coffee bean,1.6521771
coffee parchment,8.29
common sole,2.1389691
cookie,1.461875
cornflakes,2.64
cow milk,1.1545122666666667
cowpea,0.485
cranberry,0.87
cranberry juice,2.88
cream,5.45
crispbread,1.348
cucumber,1.0453645833333332
cull ewe,12.16356515
cull goat,7.5672528
currant,0.6385
cuttlefish,5.05
dark chocolate,10.705
date,0.6
diamond fish,6.017
duck,3.499351475
durum wheat,0.46712
durum wheat grain,0.72289848
eel,3.88
egg,2.751299
egg pasta,3.1511
eggplant,1.5454999999999999
eggs,2.945599
emmental,8.2
emu,1.5
european anchovy,0.44165738
european pilchard,0.23838899000000002
exotic fruit,2.43
extruded flaxseed,1.1159789
fennel,0.48
fig,0.258
fig juice,3.2
fish,5.1
fish mixed,4.988
fish stick,2.260802469
flatfish,6.406
flathead,2.56
flavored crackers,0.9265
flaxseed,0.28375354
fork beard,8.0086
french bean,0.092845649
gadidae,3.2539914
garlic,0.708
gerkin,1.1625
ginger,0.88
goat cheese,8.35
goat milk,1.2735273500000002
gooseberry,0.84
graham flour,0.47
grain maize,0.35756017333333334
grana padano,15.34
grape,0.4590229266666667
grapefruit,0.29007067
grapes,0.31
great scallop,0.67363034
green bean,0.39525
green beans,2.741769912
ground coffee,5.129285715
groundnuts,2.4
guava,0.279
haddock,3.41
hake,10.4006
hake fish stick,2.14
hazelnut,1.112
hazelnut covered with chocolate,3.43
hazelnut cream,2.71
hazelnut paste,1.685
hemp,0.499062565
hemp fibre,0.36855223
herring,1.2685
honey,1.7425
ice cream,1.02
jasmine rice,4.304376214285715
kangaroo meat,4.1
ketchup,1.464
kid goat,2.5513698
kiwi,0.40534114
kiwi juice,2.84
krill,5.54
lamb,17.310243162
large trout,2.5291281
leek,0.33133642199999996
lemon,0.22
lentil,1.03
lettuce,0.61764405
lime,0.22
ling,6.4486
lobster,17.172778
lupin,0.7148785
mackerel,1.395
maize,0.79
maize flour,1.31
maize grain,0.38649532
makerel fish stick,1.01654321
mandarin,0.446
mango,0.309
mango juice,2.96
margarine,1.39
mascarpone,5.7
mayonnaise,2.04
mealworms,2.84
megrim,14.1544
melon,0.4437773014285714
milk,2.8000000000000003
milk chocolate,3.6
millet,0.855
millet flour,1.37
mineral water,0.491
mixed fish,1.04
mixed nuts,0.47
mozzarella,8.2
mung bean flour,1.49
mushroom,2.062835052
mussels,0.45164669
neck,4.025
nuts,0.2
oat,0.67
oat grain,0.5486705
oatmeal,1.235
octopus,6.839305555499999
olive oil,4.6325
olives,0.636
onion,0.1132345808
onions & leeks,0.3
orange,0.3
orange juice,0.461
other fruit,0.7
other pulses,1.6
other vegetables,0.5
palm fruit bunch,0.9070672766666666
palm nut,0.8
palm oil,5.016
parmigiano reggiano,12.54
pasta,1.2055
pea,0.446
peach,0.25814851
peanut,0.8305
peanut butter,1.15
peanut oil,2.8975
peanut paste,1.84
pear,0.12463648325
pear juice,0.49045
peas,0.7999999999999999
pecorino,17.15
pepper,1.8511666666666668
pesto,2.713
pesto without garlic,2.717
pilchard,1.0968
pineapple,0.5642288418333333
pineapple juice,2.78
pistachio,1.6
plaice,6.13
plain crackers,1.34825
plum,0.258
pollock,1.1475
pollock stick,2.14
pomegranate,0.7426923075
pomelo,0.51
pomfret,6.6286
porbeagle,11.436
pork,6.377631877000001
pork ham,7.945
pork sausages,17.94
potato,0.14428171142857144
poultry meat,6.1000000000000005
pumpkin,0.2362540984
quinoa,0.974
quinoa fr,6.4643859
quorne,2.5
rabbit,5.3622093
radish,0.15379
raisin,0.81
rape seed,0.782
rapeseed,1.0060383375000002
rapeseed oil,2.74302
raspberries,1.175
raspberry,3.9909999999999997
red wine,0.873
rhombus,8.41
rice,3.0943902439024393
rice milk,0.6602
ricotta,3.4
rock fish,6.94
rockmelon,0.39
root vegetables,0.3
rye,0.38
saithe,3.1435381500000004
salmon,2.4826939333333335
salt,1.133
sardine,0.9
sea bass,4.1829077
seaweed,0.47266092000000004
sesame seed,0.88
shark,11.436
sheep milk,1.6882575
shrimp,11.301666666666668
skipjack tuna,1.8740813
small trout,1.8771774
snail,0.73
soft wheat grain,0.4818404516666666
sole,9.839
sorghum,0.49118011999999994
sorghum flour,1.33
soy burger,1.48
soy cream,1.62
soy meal,0.62
soy milk,0.78
soy yogurt,1.36
soybean,0.51094466
soybean oil,3.8934999999999995
soymilk,1.0
spinach,0.338
spring faba bean,0.29421099
spring pea,0.33601555
squid,6.91
starchy roots,0.29
stracchino,4.92
strawberry,0.9210449390833332
strawberry juice,2.68
suckler heifer,16.646865
sugar,0.656
sunflower grain,0.8395360025
sunflower oil,2.2423
sunflower seed,1.1595
swardfish,12.838
swede,0.29
sweet potato,0.27
