title,ingredients,directions,NER,valid ingredient count,carbon
Crazy Peanut Butter Cookies,"['1 c. creamy peanut butter', '1 c. sugar', '1 egg']","['Mix together and roll into balls; flatten with fork.', 'Bake on ungreased cookie sheet.', 'Makes 2 dozen.', 'Quick, easy and good.']","['egg', 'peanut butter', 'sugar']",3,0
Donah'S Coffee Milk,"['1/2 c. brewed coffee', '1/2 c. milk', '2 tsp. sugar']","['Pour 1/2 cup coffee into a coffee mug.', 'Pour in the milk.', 'Add the sugar.', 'Stir.']","['coffee', 'sugar', 'milk']",3,0
No Bake Peanut Butter Cookies,"['1 c. dry milk', '1 c. oatmeal', '1/2 c. peanut butter', '1/2 c. honey']","['Thoroughly mix everything together.', 'Shape the dough into little balls, then enjoy.']","['oatmeal', 'peanut butter', 'honey', 'milk']",4,0
Oatmeal Cookie Candy,"['2 c. sugar', '1/2 c. milk', '1/2 c. butter', '1/8 tsp. salt', '1 tsp. vanilla', '1 c. peanut butter', '3 c. oatmeal']","['Boil together sugar, milk, butter and salt for 1 minute. Remove from heat and add peanut butter and vanilla.', 'Stir until smooth.', 'Add oatmeal and mix together.', 'Drop by tablespoon onto waxed paper.']","['sugar', 'vanilla', 'peanut butter', 'milk', 'oatmeal', 'butter', 'salt']",7,0
Cheese Sandwich,"['2 pieces bread', '1 slice cheese']",['Place cheese sandwich in microwave for 30 seconds.'],"['bread', 'cheese']",2,0
New Orleans Orange Chicken,"['1 chicken', '1 c. mayonnaise', '1 c. ketchup', '1 c. frozen concentrated orange juice']","['Cut up chicken as desired.', 'Combine mayonnaise, ketchup and orange juice.', 'Pour over chicken in a shallow baking dish.', 'Bake at 350° for 1 hour (uncovered).', 'Extra sauce may be used over rice.']","['mayonnaise', 'ketchup', 'chicken', 'orange juice']",4,0
Peanut Butter Fudge,"['2 c. sugar', '1 c. peanut butter', '1 tsp. vanilla', '1 c. milk', '1 Tbsp. butter']",['Bring the sugar and the milk to a boil until it makes a ball. Add the rest of the ingredients and pour on a plate and let it sit.'],"['sugar', 'vanilla', 'peanut butter', 'milk', 'butter']",5,0
Francese Sauce,"['6 oz. white wine', '1 lemon, squeezed', '1/2 lb. softened butter']","['Put white wine in saucepan.', 'Squeeze lemon and reduce volume to half its original size.', 'Swirl in 1/2 pound softened butter to make an emulsion.', 'If it separates, remove from heat and stir to re-emulsify, or add cold chicken stock.', 'If too loose, roll small pieces of butter in flour and stir until sauce is desired thickness.', 'Use as a sauce on chicken or fish.', 'Top with parsley and sliced blanched mushrooms.']","['lemon', 'butter', 'white wine']",3,0
Guacamole Dip,"['1 avocado', '1 small tomato, chopped fine', '1/2 small onion, chopped fine']","['Combine ingredients.', 'Add to taste salt, garlic, pepper, 1/2 lime or lemon juice, vinegar or oil to give creamier texture.', 'Mix everything together, taste and then add a touch of Tabasco sauce if you like it a little hotter.']","['tomato', 'onion', 'avocado']",3,0
Microwave Peanut Butter Fudge,"['2/3 c. margarine', '2/3 c. peanut butter', '6 c. 10x sugar', '1/2 c. milk', '1 tsp. vanilla']","['Microwave butter for 1 1/2 to 2 minutes.', 'Stir until blended and well melted.', 'Add remaining ingredients.', 'Mix well (I knead with my hands).', 'Microwave until soft, 1 to 1 1/2 minutes.', 'Stir and pour into 9 x 9-inch pan.', 'Refrigerate.']","['sugar', 'vanilla', 'peanut butter', 'margarine', 'milk']",5,0
